gpus,load,wan_gbps,deadline_s,draw,policy,shed_fraction,action_fractions,resource_utilization,qh_gap
64,0.5,40,1.5,3,isolated_fastest,0.09391720387308548,"[0.0, 0.0, 0.0, 0.09391720387308548]","[0.7513376309846839, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15026752619693678, 0.0, 0.0017142513817229557, 0.0, 1.0000000000000002, 1.0000000000000002]",0.3747542655660168
64,0.5,40,1.5,4,queue_haul,0.46907356088797764,"[0.16700176079444834, 0.04200176079445052, 0.20799823920554947, 0.052071800093529276]","[0.9999999999999999, 0.9999999999999999, 1.0, 0.752588487103821, 0.0, 0.0, 0.0, 0.0, 0.9999999999999826, 1.0, 0.3344056345422382, 0.416112062878526, 0.009893046524188667, 0.008383371104679915, 1.0, 0.553188379819734, 1.0]",0.0
64,0.5,40,1.5,4,greedy,0.3985546303783022,"[0.125, 0.0, 0.25, 0.023554630378302202]","[1.0, 1.0, 1.0, 0.0, 0.18843704302641762, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.43768740860528355, 0.004563198516960482, 0.008564549045997858, 0.00043683375180787157, 0.9998048176036053, 1.0]",0.07051893050967545
64,0.5,40,1.5,4,kv_only,0.09431369636634676,"[0.0, 0.04214045547863706, 0.0, 0.0521732408877097]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0674247287658193, 0.08347718542033553, 0.0007691810557766234, 0.0009523074217752755, 1.0, 0.5531883798197341, 1.0]",0.3747598645216309
64,0.5,40,1.5,4,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.0030383650369682773, 0.00081394837468919, 0.00217152517955606]",0.09407356088797764
64,0.5,40,1.5,4,isolated_fastest,0.09431369636634676,"[0.0, 0.04214045547863706, 0.0, 0.0521732408877097]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0674247287658193, 0.08347718542033553, 0.0007691810557766234, 0.0009523074217752755, 1.0, 0.5531883798197341, 1.0]",0.3747598645216309
64,0.5,40,1.5,5,queue_haul,0.4690724929696084,"[0.16787121581206108, 0.042871215812058217, 0.20712878418794178, 0.05120127715754737]","[1.0, 1.0, 1.0, 0.7525799437568677, 0.0, 0.0, 0.0, 0.0, 1.0000000000000229, 0.9999999999999999, 0.3371878905985909, 0.41332809815278265, 0.00990891650757668, 0.008367423151315606, 1.0, 0.5439647651924178, 1.0]",0.0
64,0.5,40,1.5,5,greedy,0.398554522274985,"[0.125, 0.0, 0.25, 0.023554522274985005]","[1.0, 1.0, 1.0, 0.0, 0.18843617819988004, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.437687235639976, 0.004563198516960482, 0.00856454115324751, 0.00042755636218698835, 0.9998050192339768, 1.0000000000000002]",0.0705179706946234
64,0.5,40,1.5,5,kv_only,0.09431369636634676,"[0.0, 0.043010368667997956, 0.0, 0.0513033276983488]","[0.7545095709307741, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06881658986879673, 0.08208532431735809, 0.0007850594020789274, 0.0009364290754729714, 1.0, 0.5439647651924178, 1.0]",0.3747587966032616
64,0.5,40,1.5,5,replay_only,0.375,"[0.125, 0.0, 0.25, 0.0]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.2, 0.4, 0.009126397033920965, 0.006844797775440723, 0.0029620248422185173, 0.0008187348457088537, 0.002169522540135867]",0.0940724929696084
