D,method,metric,mean,std
900.0,state_only,token_wtd,1.0,0.0
900.0,state_only,kv_wtd,1.0,0.0
900.0,state_only,min_class,1.0,0.0
900.0,state_only,phi,0.7689966038543888,0.0
900.0,state_only,num_starved,0.0,0.0
900.0,least_loaded,evac_frac,0.9440018804425115,0.0
900.0,least_loaded,token_wtd,0.647142409990521,0.0
900.0,least_loaded,kv_wtd,0.5527988667567546,0.0
900.0,least_loaded,min_class,0.0,0.0
900.0,least_loaded,phi,20.732810874758787,0.0
900.0,least_loaded,num_starved,2.0,0.0
