replicate,case_id,bound_constraint,policy,power_bootstrap_index,timing_fit_sha256,target_w,requested_fraction,deadline_s,horizon_s,attainment_time_s,target_met_by_30s
2,none,None bound,replay_only,25,cb8c04506e72ffab0d439b0fcf401da39e01d3cdf559622ec1b4578eab5a3ea9,41.27304919979958,0.6666666666666666,30,90,17.483006887707237,True
3,hbm,HBM,queue_haul,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,13.44961384075332,True
3,hbm,HBM,greedy,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,16.563792428534818,True
3,hbm,HBM,isolated_fastest,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,43.43810904644428,False
3,hbm,HBM,kv_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,24.358752793555556,True
3,hbm,HBM,replay_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,16.563792428534818,True
3,bandwidth,Bandwidth,queue_haul,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,14.689234263835036,True
3,bandwidth,Bandwidth,greedy,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,18.26028745094434,True
3,bandwidth,Bandwidth,isolated_fastest,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,14.689234263835036,True
3,bandwidth,Bandwidth,kv_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,28.37123843902778,True
3,bandwidth,Bandwidth,replay_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,18.26028745094434,True
3,dest_compute,Dest. compute,queue_haul,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,,False
3,dest_compute,Dest. compute,greedy,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,,False
3,dest_compute,Dest. compute,isolated_fastest,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,,False
3,dest_compute,Dest. compute,kv_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,,False
3,dest_compute,Dest. compute,replay_only,6,06dca7a2a16e57b5d16031cf6ce83a6083b9d061abf23de97c23d420c20e5ff3,39.91426662467869,0.6666666666666666,30,90,,False
