model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,10,3,replay_only,0.8,4000,-1573999.066323431,6.421053787926212,657850.2940187245,0.6
gpt-oss-20b,coding,8,10,3,replay_only,1.0,4000,-2840813.239423091,-0.6616535498760641,79903.89979281397,0.4835
gpt-oss-20b,coding,8,10,3,replay_only,1.2,4000,-115826.60020792962,18.846794091979973,387327.10551614186,0.55
gpt-oss-20b,coding,8,10,3,isolated_fastest,0.8,4000,-4450.906676074716,72894.12887139495,1663473.9314162615,0.5
gpt-oss-20b,coding,8,10,3,isolated_fastest,1.0,4000,838177.9861679795,2733310.655747452,4943250.617820397,1.0
gpt-oss-20b,coding,8,10,3,isolated_fastest,1.2,4000,1414293.655461809,5269663.169307844,10058641.072695356,1.0
gpt-oss-20b,coding,8,10,10,greedy,0.8,4000,-42158.858487870304,-8.142322023609577,129.7657636844793,0.25
gpt-oss-20b,coding,8,10,10,greedy,1.0,4000,-5451706.834866637,-360836.2987720538,26439.85139461091,0.45
gpt-oss-20b,coding,8,10,10,greedy,1.2,4000,-148.41793334968264,156.77969724591821,5625.073241340403,0.85
gpt-oss-20b,coding,8,10,10,kv_only,0.8,4000,-17318.90272120428,-10171.765104973889,-5889.489941943963,0.0
gpt-oss-20b,coding,8,10,10,kv_only,1.0,4000,3296144.225028171,5499088.960573737,9507200.3502282,1.0
gpt-oss-20b,coding,8,10,10,kv_only,1.2,4000,8834042.651826879,10209439.131403862,11261843.509871699,1.0
gpt-oss-20b,coding,8,10,10,replay_only,0.8,4000,-42086.76718176397,4.250321127111703,150.66170678621853,0.75
gpt-oss-20b,coding,8,10,10,replay_only,1.0,4000,-5451686.753140786,-360801.4199991911,26461.01567058022,0.45
gpt-oss-20b,coding,8,10,10,replay_only,1.2,4000,-92.27800288982499,195.92915084213018,5651.115645611766,0.9
gpt-oss-20b,coding,8,10,10,isolated_fastest,0.8,4000,-17318.90272120428,-10171.765104973889,-5889.489941943963,0.0
gpt-oss-20b,coding,8,10,10,isolated_fastest,1.0,4000,3296144.225028171,5499088.960573737,9507200.3502282,1.0
gpt-oss-20b,coding,8,10,10,isolated_fastest,1.2,4000,8834042.651826879,10209439.131403862,11261843.509871699,1.0
gpt-oss-20b,coding,8,10,30,greedy,0.8,4000,-21.737002748232232,-2.6939069271640936,8.450844371511867,0.2
gpt-oss-20b,coding,8,10,30,greedy,1.0,4000,-2559510.0782173104,-19331.47246322641,546209.008081557,0.5
gpt-oss-20b,coding,8,10,30,greedy,1.2,4000,-57.4918853102238,215.7918931497261,391.2669490670746,0.9
gpt-oss-20b,coding,8,10,30,kv_only,0.8,4000,-52219.691293802316,-30690.0006959637,-17869.476265005032,0.0
gpt-oss-20b,coding,8,10,30,kv_only,1.0,4000,4177634.1218516077,8443279.133816915,11376349.23458596,1.0
gpt-oss-20b,coding,8,10,30,kv_only,1.2,4000,11077390.13509533,11573408.835534994,11824223.842547668,1.0
gpt-oss-20b,coding,8,10,30,replay_only,0.8,4000,0.0,1.1532822200536565,23.801835135961458,0.55
gpt-oss-20b,coding,8,10,30,replay_only,1.0,4000,-2559471.5372406133,-19317.969571916852,546237.1973130079,0.5
gpt-oss-20b,coding,8,10,30,replay_only,1.2,4000,-46.71638050405175,232.2487107012421,404.8722583085247,0.9
gpt-oss-20b,coding,8,10,30,isolated_fastest,0.8,4000,-52219.691293802316,-30690.0006959637,-17869.476265005032,0.0
gpt-oss-20b,coding,8,10,30,isolated_fastest,1.0,4000,4177634.1218516077,8443279.133816915,11376349.23458596,1.0
gpt-oss-20b,coding,8,10,30,isolated_fastest,1.2,4000,11077390.13509533,11573408.835534994,11824223.842547668,1.0
gpt-oss-20b,coding,8,10,60,greedy,0.8,4000,-10.431368782353413,0.0,1.0331738833509645,0.05
