timestamp, uuid, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/10 01:42:54.060, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.49 W, 0 %, 61438 MiB
2026/09/10 01:42:55.061, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.49 W, 0 %, 61438 MiB
2026/09/10 01:42:56.061, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.46 W, 0 %, 61438 MiB
2026/09/10 01:42:57.061, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 61438 MiB
2026/09/10 01:42:58.061, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.39 W, 0 %, 61438 MiB
2026/09/10 01:42:59.061, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.49 W, 0 %, 61438 MiB
2026/09/10 01:43:00.062, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.59 W, 0 %, 61438 MiB
2026/09/10 01:43:01.062, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.45 W, 0 %, 61438 MiB
2026/09/10 01:43:02.062, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:43:03.062, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:43:04.062, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.41 W, 0 %, 61438 MiB
2026/09/10 01:43:05.063, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.51 W, 0 %, 61438 MiB
2026/09/10 01:43:06.063, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.28 W, 0 %, 61438 MiB
2026/09/10 01:43:07.063, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:43:08.063, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.44 W, 0 %, 61438 MiB
2026/09/10 01:43:09.063, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.25 W, 0 %, 61438 MiB
2026/09/10 01:43:10.064, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.34 W, 0 %, 61438 MiB
2026/09/10 01:43:11.064, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.15 W, 0 %, 61438 MiB
2026/09/10 01:43:12.064, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.25 W, 0 %, 61438 MiB
2026/09/10 01:43:13.064, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.06 W, 0 %, 61438 MiB
2026/09/10 01:43:14.064, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.32 W, 0 %, 61438 MiB
2026/09/10 01:43:15.065, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.25 W, 0 %, 61438 MiB
2026/09/10 01:43:16.065, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.22 W, 0 %, 61438 MiB
2026/09/10 01:43:17.065, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.15 W, 0 %, 61438 MiB
2026/09/10 01:43:18.066, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.28 W, 0 %, 61438 MiB
2026/09/10 01:43:19.066, GPU-427d22f2-8e58-888c-37be-a9a42e38d271, 103.15 W, 0 %, 61438 MiB
