cell_id,n_workflows,state_scale,prefill_capacity,link_gbps,policy,p50_resume_s,p90_resume_s,p95_resume_s,makespan_s,dominant_bottleneck
n10_monorepo_loose_5g,10,monorepo,loose,5,kv_all,48.5151785,87.3273213,92.1788391,97.030357,network
n10_monorepo_loose_5g,10,monorepo,loose,5,workspace_sticky,25,45,47.5,50,workspace
n10_monorepo_loose_5g,10,monorepo,loose,5,random_diversification,24.804461,44.6480297,47.1284758,49.6089219,network
n10_monorepo_loose_5g,10,monorepo,loose,5,mixed_min_pressure,12.5,22.5,23.75,25,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,strong_reuse,25,45,47.5,50,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,replay_all,25,45,47.5,50,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,kv_all,25,45,47.5,50,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,workspace_sticky,25,45,47.5,50,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,random_diversification,15,27,28.5,30,workspace
n10_monorepo_loose_25g,10,monorepo,loose,25,mixed_min_pressure,12.5,22.5,23.75,25,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,strong_reuse,25,45,47.5,50,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,replay_all,25,45,47.5,50,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,kv_all,25,45,47.5,50,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,workspace_sticky,25,45,47.5,50,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,random_diversification,15,27,28.5,30,workspace
n10_monorepo_loose_100g,10,monorepo,loose,100,mixed_min_pressure,12.5,22.5,23.75,25,workspace
n10_monorepo_moderate_1g,10,monorepo,moderate,1,strong_reuse,200,360,380,400,network
n10_monorepo_moderate_1g,10,monorepo,moderate,1,replay_all,200,360,380,400,network
n10_monorepo_moderate_1g,10,monorepo,moderate,1,kv_all,242.575892,436.636606,460.894196,485.151785,network
n10_monorepo_moderate_1g,10,monorepo,moderate,1,workspace_sticky,25,45,47.5,50,workspace
n10_monorepo_moderate_1g,10,monorepo,moderate,1,random_diversification,124.022305,223.240149,235.642379,248.04461,network
n10_monorepo_moderate_1g,10,monorepo,moderate,1,mixed_min_pressure,12.5,22.5,23.75,25,workspace
n10_monorepo_moderate_5g,10,monorepo,moderate,5,strong_reuse,40,72,76,80,network
n10_monorepo_moderate_5g,10,monorepo,moderate,5,replay_all,40,72,76,80,network
n10_monorepo_moderate_5g,10,monorepo,moderate,5,kv_all,48.5151785,87.3273213,92.1788391,97.030357,network
