monotonic_ns,wall_ns,power_w,utilization_pct,memory_mib
5759056873104,1786471025535536785,107.79,100.0,89111.0
5759181973047,1786471025660636718,108.83,100.0,89111.0
5759307004618,1786471025785668169,109.29,100.0,89111.0
5759431804253,1786471025910467894,109.26,100.0,89111.0
5759556735738,1786471026035399309,109.67,100.0,89111.0
5759681356391,1786471026160020132,110.58,100.0,89111.0
5759806191996,1786471026284855717,111.5,100.0,89111.0
5759930924050,1786471026409587611,112.4,100.0,89111.0
5760055942167,1786471026534606108,111.97,100.0,89111.0
5760180684340,1786471026659348012,111.92,100.0,89111.0
5760305635357,1786471026784299038,112.9,100.0,89111.0
5760430597703,1786471026909261454,113.73,100.0,89111.0
5760555835776,1786471027034499327,114.23,100.0,89111.0
5760681047620,1786471027159711441,113.26,100.0,89111.0
5760805995256,1786471027284658927,114.06,100.0,89111.0
5760931179719,1786471027409843390,113.75,100.0,89111.0
5761055842452,1786471027534506103,114.19,100.0,89111.0
5761180514214,1786471027659177655,115.39,100.0,89111.0
5761305491024,1786471027784154575,119.29,100.0,89111.0
5761430192426,1786471027908856107,120.9,100.0,89111.0
5761554955649,1786471028033619330,121.1,100.0,89111.0
5761679638321,1786471028158301992,123.27,100.0,89111.0
5761804571046,1786471028283234747,126.04,100.0,89111.0
5761929287988,1786471028407951729,126.32,100.0,89111.0
5762054280653,1786471028532944444,128.21,100.0,89111.0
5762179242638,1786471028657906349,126.33,100.0,89111.0
5762304358189,1786471028783021950,127.74,100.0,89111.0
5762429193197,1786471028907856868,127.5,100.0,89111.0
5762554102316,1786471029032766147,129.82,100.0,89111.0
5762678929625,1786471029157593306,130.88,100.0,89111.0
5762803619932,1786471029282283493,130.63,100.0,89111.0
5762928272249,1786471029406935810,133.39,100.0,89111.0
5763053044827,1786471029531708508,132.9,100.0,89111.0
5763178018897,1786471029656682748,134.74,100.0,89111.0
5763303090118,1786471029781753879,134.51,100.0,89111.0
5763427960516,1786471029906624337,135.76,100.0,89111.0
5763553009567,1786471030031673208,135.82,100.0,89111.0
5763677538033,1786471030156201884,134.34,100.0,89111.0
5763802311700,1786471030280975341,135.37,100.0,89111.0
5763926864786,1786471030405528517,133.3,100.0,89111.0
5764051390392,1786471030530054113,134.19,100.0,89111.0
5764176087169,1786471030654750760,134.93,100.0,89111.0
5764300827877,1786471030779491598,134.21,100.0,89111.0
5764425753336,1786471030904417077,135.43,100.0,89111.0
5764550616915,1786471031029280636,133.11,100.0,89111.0
5764675613715,1786471031154277456,133.16,100.0,89111.0
5764800797927,1786471031279461608,134.73,100.0,89111.0
5764925652880,1786471031404316561,134.72,100.0,89111.0
5765050555935,1786471031529219636,136.19,100.0,89111.0
5765175395608,1786471031654059209,135.37,100.0,89111.0
5765299967089,1786471031778630890,136.63,100.0,89111.0
5765424768643,1786471031903432354,135.01,100.0,89111.0
5765549870078,1786471032028533769,133.62,100.0,89111.0
5765674836723,1786471032153500534,137.57,100.0,89111.0
5765799709797,1786471032278373538,134.24,100.0,89111.0
5765924560321,1786471032403223982,135.49,100.0,89111.0
5766049173752,1786471032527837473,135.03,100.0,89111.0
5766174236548,1786471032652900359,133.9,100.0,89111.0
5766299048321,1786471032777712122,134.55,100.0,89111.0
5766423777964,1786471032902441615,132.91,100.0,89111.0
5766548507296,1786471033027170867,136.03,100.0,89111.0
5766673763474,1786471033152427185,132.99,100.0,89111.0
5766799019301,1786471033277683152,134.23,100.0,89111.0
5766924267039,1786471033402930690,135.1,100.0,89111.0
5767049176753,1786471033527840514,133.62,100.0,89111.0
5767173798625,1786471033652462216,136.04,100.0,89111.0
5767299067892,1786471033777731623,133.49,100.0,89111.0
5767423739664,1786471033902403635,136.82,100.0,89111.0
5767548701889,1786471034027365470,136.18,100.0,89111.0
5767673645163,1786471034152308794,134.88,100.0,89111.0
5767798668888,1786471034277332599,134.89,100.0,89111.0
5767923591193,1786471034402254864,133.74,100.0,89111.0
5768048384566,1786471034527048127,136.19,100.0,89111.0
5768173132029,1786471034651795870,133.52,100.0,89111.0
5768298155664,1786471034776819415,136.22,100.0,89111.0
5768423156429,1786471034901820070,134.97,100.0,89111.0
5768547586874,1786471035026250735,132.42,100.0,89111.0
5768672371877,1786471035151035338,134.04,100.0,89111.0
5768797359427,1786471035276023018,133.85,100.0,89111.0
5768922268951,1786471035400932702,135.48,100.0,89111.0
5769047380082,1786471035526043823,132.7,100.0,89111.0
5769172267318,1786471035650931029,133.23,100.0,89111.0
5769297087748,1786471035775751509,132.1,100.0,89111.0
5769421872777,1786471035900536338,134.2,100.0,89111.0
5769546821629,1786471036025485450,136.48,100.0,89111.0
5769671440017,1786471036150103838,133.94,100.0,89111.0
5769796059605,1786471036274723226,134.42,100.0,89111.0
5769921081517,1786471036399745278,134.84,100.0,89111.0
5770046096499,1786471036524760060,135.17,100.0,89111.0
5770171094260,1786471036649757931,135.93,100.0,89111.0
5770296383455,1786471036775047066,134.97,100.0,89111.0
5770421535008,1786471036900198609,134.85,100.0,89111.0
5770546887593,1786471037025551364,133.49,100.0,89111.0
5770671874074,1786471037150537845,136.05,100.0,89111.0
5770796522763,1786471037275186354,135.74,100.0,89111.0
5770921250652,1786471037399914393,133.83,100.0,89111.0
